table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,application_tracker,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
public,application_tracker,2,user_id,uuid,uuid,YES,null,null,null,null
public,application_tracker,3,school_name,text,text,NO,null,null,null,null
public,application_tracker,4,program_name,text,text,NO,null,null,null,null
public,application_tracker,6,tier,text,text,YES,'match'::text,null,null,null
public,application_tracker,7,status,text,text,YES,'planning'::text,null,null,null
public,application_tracker,8,deadline,text,text,YES,null,null,null,null
public,application_tracker,9,notes,text,text,YES,null,null,null,null
public,application_tracker,10,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
public,application_tracker,11,updated_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
public,application_tracker,12,program_id,uuid,uuid,YES,null,null,null,null
public,art_categories,1,id,integer,int4,NO,null,null,32,0
public,art_categories,2,code,text,text,NO,null,null,null,null
public,art_categories,3,level,smallint,int2,NO,null,null,16,0
public,art_categories,4,parent_id,integer,int4,YES,null,null,32,0
public,art_categories,5,name_zh,text,text,NO,null,null,null,null
public,art_categories,6,name_en,text,text,NO,null,null,null,null
public,art_categories,7,aliases,ARRAY,_text,NO,'{}'::text[],null,null,null
public,art_categories,8,is_interdisciplinary,boolean,bool,NO,false,null,null,null
public,art_categories,9,description_zh,text,text,YES,null,null,null,null
public,art_categories,10,description_en,text,text,YES,null,null,null,null
public,art_categories,11,display_order,smallint,int2,NO,0,null,16,0
public,art_categories,12,color_hex,text,text,YES,null,null,null,null
public,art_categories,13,icon_slug,text,text,YES,null,null,null,null
public,art_categories,14,is_active,boolean,bool,NO,true,null,null,null
public,art_categories,15,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
public,art_categories,16,updated_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
public,auth_provider_links,1,id,integer,int4,NO,nextval('auth_provider_links_id_seq'::regclass),null,32,0
public,auth_provider_links,2,user_id,uuid,uuid,NO,null,null,null,null
